beat1, beat2, correlation
[('2112', '2333', 0.99999999782610915), 
 ('2124', '2331', 0.99999999754507596),
 ('2132', '2133', 0.99999993101585005), ** adjacent
 ('2111', '2313', 0.99999961352805622),
 ('2132', '2311', 0.99999948102102432),
 ('2113', '2312', 0.99999945506941468),
 ('2133', '2311', 0.9999990336122121),
 ('2123', '2324', 0.99999896220802331),
 ('2122', '2131', 0.99999859714985007),
 ('2324', '2332', 0.99999793174850882),
 ('2113', '2332', 0.99999733259989243),
 ('2124', '2312', 0.99999727193938792),
 ('2312', '2331', 0.99999710581196555),
 ('2312', '2332', 0.99999437640920996),
 ('2113', '2124', 0.99999428848513405),
 ('2113', '2331', 0.99999404920712853),
 ('2112', '2322', 0.99999404709862383),
 ('1412', '1822', 0.99999402424027772),
 ('2123', '2332', 0.99999396383139783),
 ('2322', '2333', 0.99999381740842186)]
