# Evaluating Accuracy 
Root Mean Squared Error (RMSE) on testSevere data = 5.92071
Root Mean Squared Error (RMSE) on testMinor data = 5.99539

# Prediction of the next week for Sever Crime 
+----+--------------------+-----+------------------+
|Beat|            features|label|        prediction|
+----+--------------------+-----+------------------+
|2432|[5.0,3.0,1.0,5.0,...|    3|  5.62704635663194|
| 935|[3.0,5.0,3.0,1.0,...|    1| 5.261996608127272|
|1434|[1.0,3.0,5.0,3.0,...|    2| 5.229625597860243|
|1113|[2.0,1.0,3.0,5.0,...|    7| 5.076465090155806|
|1513|[7.0,2.0,1.0,3.0,...|    1|  6.92434238509347|
|1533|[1.0,7.0,2.0,1.0,...|    6| 5.475728840265439|
|2233|[6.0,1.0,7.0,2.0,...|    2| 6.547135133751408|
| 835|[2.0,6.0,1.0,7.0,...|    4| 5.936959962433114|
|1911|[4.0,2.0,6.0,1.0,...|    1| 5.922356351031391|
| 726|[1.0,4.0,2.0,6.0,...|    3| 5.437658050704912|
| 825|[3.0,1.0,4.0,2.0,...|    4| 5.069017211320525|
| 725|[4.0,3.0,1.0,4.0,...|    4| 5.534231428532499|
| 234|[4.0,4.0,3.0,1.0,...|    3|  5.50222852277806|
|2523|[3.0,4.0,4.0,3.0,...|    2|5.2006327321412344|
|1133|[2.0,3.0,4.0,4.0,...|    5| 5.194592356314971|
| 524|[5.0,2.0,3.0,4.0,...|    1| 5.617708460072934|
|1135|[1.0,5.0,2.0,3.0,...|    4|5.2432201616718705|
|1123|[4.0,1.0,5.0,2.0,...|    4|5.6573303075349815|
|2423|[4.0,4.0,1.0,5.0,...|    2| 5.677508028360439|
|1423|[2.0,4.0,4.0,1.0,...|    5|  5.19408540424547|
| 224|[5.0,2.0,4.0,4.0,...|    3| 5.693981164218603|
|2532|[3.0,5.0,2.0,4.0,...|    3| 5.435183438041273|
| 923|[3.0,3.0,5.0,2.0,...|    1|5.2215869588038855|
| 332|[1.0,3.0,3.0,5.0,...|    3| 5.082717608987766|
|1624|[3.0,1.0,3.0,3.0,...|    2|  4.94700716140829|
| 423|[2.0,3.0,1.0,3.0,...|    2|4.9344832337848485|
|1722|[2.0,2.0,3.0,1.0,...|    1| 4.940459833512526|
|1224|[1.0,2.0,2.0,3.0,...|    2|  4.92823071495289|
|1013|[2.0,1.0,2.0,2.0,...|    7|  4.92823071495289|
|1131|[7.0,2.0,1.0,2.0,...|    4|  6.92434238509347|
| 114|[4.0,7.0,2.0,1.0,...|    3| 5.916317498608204|
|1924|[3.0,4.0,7.0,2.0,...|    1| 6.047942052039872|
| 735|[1.0,3.0,4.0,7.0,...|    5| 5.700704506146515|
|2232|[5.0,1.0,3.0,4.0,...|    3| 5.617708460072934|
|2521|[3.0,5.0,1.0,3.0,...|    4| 5.249767489567635|
| 832|[4.0,3.0,5.0,1.0,...|    4| 5.663582826366941|
|1522|[4.0,4.0,3.0,5.0,...|    7| 5.674422650633392|
| 915|[7.0,4.0,4.0,3.0,...|    4|   7.0527556255586|
| 733|[4.0,7.0,4.0,4.0,...|    3| 6.134933389103207|
| 215|[3.0,4.0,7.0,4.0,...|    4| 6.209185202701139|
|1532|[4.0,3.0,4.0,7.0,...|    3| 6.076804681515815|
|1223|[3.0,4.0,3.0,4.0,...|    2| 5.273254629449804|
|1523|[2.0,3.0,4.0,3.0,...|    5| 5.068722402256721|
| 212|[5.0,2.0,3.0,4.0,...|    2| 5.617708460072934|
|1633|[2.0,5.0,2.0,3.0,...|    5|5.2432201616718705|
| 613|[5.0,2.0,5.0,2.0,...|    1| 5.802336901451122|
|2223|[1.0,5.0,2.0,5.0,...|    6| 5.437435046895963|
| 634|[6.0,1.0,5.0,2.0,...|    2|6.0831324017013255|
| 123|[2.0,6.0,1.0,5.0,...|    3| 5.511451701732143|
| 312|[3.0,2.0,6.0,1.0,...|    4| 5.561357161832063|
|2535|[4.0,3.0,2.0,6.0,...|    3| 5.646085784798731|
|1821|[3.0,4.0,3.0,2.0,...|    2| 5.087838680976166|
|2511|[2.0,3.0,4.0,3.0,...|    2| 5.068722402256721|
| 815|[2.0,2.0,3.0,4.0,...|    2| 5.066329787570776|
|1033|[2.0,2.0,2.0,3.0,...|    2|  4.92823071495289|
| 934|[2.0,2.0,2.0,2.0,...|    2|  4.92823071495289|
|1923|[2.0,2.0,2.0,2.0,...|    1|  4.92823071495289|
| 322|[1.0,2.0,2.0,2.0,...|    2|  4.92823071495289|
|1832|[2.0,1.0,2.0,2.0,...|    1|  4.92823071495289|
| 324|[1.0,2.0,1.0,2.0,...|    4|  4.92823071495289|
|2411|[4.0,1.0,2.0,1.0,...|    1| 5.379771753292021|
| 614|[1.0,4.0,1.0,2.0,...|    2| 5.069062234520764|
|1925|[2.0,1.0,4.0,1.0,...|    3| 5.062469883424761|
| 313|[3.0,2.0,1.0,4.0,...|    4|5.0729685946725365|
| 213|[4.0,3.0,2.0,1.0,...|    9| 5.386024272123981|
|1713|[9.0,4.0,3.0,2.0,...|    2| 7.992121306611482|
|1432|[2.0,9.0,4.0,3.0,...|    2| 7.423702065805171|
| 112|[2.0,2.0,9.0,4.0,...|    2| 7.037879120568975|
|2433|[2.0,2.0,2.0,9.0,...|    2| 6.274379173474256|
|1235|[2.0,2.0,2.0,2.0,...|    2|  4.92823071495289|
|1822|[2.0,2.0,2.0,2.0,...|    1|  4.92823071495289|
| 814|[1.0,2.0,2.0,2.0,...|    1|  4.92823071495289|
| 823|[1.0,1.0,2.0,2.0,...|    4|  4.92823071495289|
|1021|[4.0,1.0,1.0,2.0,...|    3| 5.379771753292021|
|2533|[3.0,4.0,1.0,1.0,...|    4|5.0756095624165285|
| 712|[4.0,3.0,4.0,1.0,...|    4| 5.459211598542603|
|1132|[4.0,4.0,3.0,4.0,...|    2| 5.674422650633392|
|1833|[2.0,4.0,4.0,3.0,...|    2|  5.19408540424547|
| 713|[2.0,2.0,4.0,4.0,...|    5| 5.188339837483012|
|2524|[5.0,2.0,2.0,4.0,...|    5| 5.620793837799981|
|1011|[5.0,5.0,2.0,2.0,...|    4| 5.860626337358646|
|1024|[4.0,5.0,5.0,2.0,...|    2|  5.94375681956272|
|1711|[2.0,4.0,5.0,5.0,...|    1| 5.510205099727788|
|1634|[1.0,2.0,4.0,5.0,...|    2| 5.198475140068042|
|2413|[2.0,1.0,2.0,4.0,...|    2| 5.054100669011139|
| 424|[2.0,2.0,1.0,2.0,...|    1|  4.92823071495289|
|1824|[1.0,2.0,2.0,1.0,...|    2|  4.92823071495289|
|2522|[2.0,1.0,2.0,2.0,...|    3|  4.92823071495289|
| 222|[3.0,2.0,1.0,2.0,...|    3| 4.934778042848654|
|1613|[3.0,3.0,2.0,1.0,...|    1| 4.941030561680613|
|1422|[1.0,3.0,3.0,2.0,...|    4| 4.946712352344486|
| 722|[4.0,1.0,3.0,3.0,...|    2| 5.376686375564974|
| 314|[2.0,4.0,1.0,3.0,...|    1| 5.069062234520764|
| 624|[1.0,2.0,4.0,1.0,...|    3| 5.062469883424761|
| 433|[3.0,1.0,2.0,4.0,...|    4|5.0729685946725365|
|1913|[4.0,3.0,1.0,2.0,...|    3| 5.386024272123981|
|1222|[3.0,4.0,3.0,1.0,...|    3| 5.087838680976166|
|1034|[3.0,3.0,4.0,3.0,...|    2| 5.075269730152486|
| 235|[2.0,3.0,3.0,4.0,...|    1| 5.072582306402736|
|2534|[1.0,2.0,3.0,3.0,...|    4| 4.940459833512526|
